sku;country;stock;last_update
D036808WW00;0;FR;2021-01-19 9:44:38
D036809WW00;0;FR;2021-01-19 9:44:38
D036810WW00;0;FR;2021-01-19 9:44:38
D036811WW00;0;FR;2021-01-19 9:44:38
D036812WW00;0;FR;2021-01-19 9:44:38
D036813WW00;0;FR;2021-01-19 9:44:38
D036814WW00;0;FR;2021-01-19 9:44:38
D036817WW00;0;FR;2021-01-19 9:44:38
D036819WW00;0;FR;2021-01-19 9:44:38
D036831WW00;0;FR;2021-01-19 9:44:38
D036832WW00;0;FR;2021-01-19 9:44:38
D036833WW00;0;FR;2021-01-19 9:44:38
D036834WW00;0;FR;2021-01-19 9:44:38
D036835WW00;0;FR;2021-01-19 9:44:38
D036837WW00;0;FR;2021-01-19 9:44:38
D036840WW00;0;FR;2021-01-19 9:44:38
D036842WW00;0;FR;2021-01-19 9:44:38
D036843WW00;0;FR;2021-01-19 9:44:38
D036844WW00;0;FR;2021-01-19 9:44:38
D036845WW00;0;FR;2021-01-19 9:44:38
D036846WW00;0;FR;2021-01-19 9:44:38
D036850WW00;0;FR;2021-01-19 9:44:38
D036873WW00;0;FR;2021-01-19 9:44:38
D036877WW00;0;FR;2021-01-19 9:44:38
D036880WW00;0;FR;2021-01-19 9:44:38
D036929WW00;0;FR;2021-01-19 9:44:38
D037011WW00;0;FR;2021-01-19 9:44:38
D037782WW00;0;FR;2021-01-19 9:44:38
D037796WW00;0;FR;2021-01-19 9:44:38
D037801WW00;0;FR;2021-01-19 9:44:38
D037803WW00;0;FR;2021-01-19 9:44:38
D037804WW00;0;FR;2021-01-19 9:44:38
D037805WW00;0;FR;2021-01-19 9:44:38
D037875WW00;0;FR;2021-01-19 9:44:38
D037877WW00;0;FR;2021-01-19 9:44:38
D037881WW00;0;FR;2021-01-19 9:44:38
D037882WW00;0;FR;2021-01-19 9:44:38
D037883WW00;0;FR;2021-01-19 9:44:38
D037884WW00;0;FR;2021-01-19 9:44:38
D037888WW00;0;FR;2021-01-19 9:44:38
D037889WW00;0;FR;2021-01-19 9:44:38
D037890WW00;0;FR;2021-01-19 9:44:38
D037891WW00;0;FR;2021-01-19 9:44:38
D037893WW00;0;FR;2021-01-19 9:44:38
D037894WW00;0;FR;2021-01-19 9:44:38
D037895WW00;0;FR;2021-01-19 9:44:38
D037962WW00;0;FR;2021-01-19 9:44:38
D038134WW00;0;FR;2021-01-19 9:44:38
D038178WW00;0;FR;2021-01-19 9:44:38
D038179WW00;0;FR;2021-01-19 9:44:38
D038219WW00;0;FR;2021-01-19 9:44:38
D038223WW00;0;FR;2021-01-19 9:44:38
D038518WW00;0;FR;2021-01-19 9:44:38
D038695WW00;0;FR;2021-01-19 9:44:38
D038696WW00;0;FR;2021-01-19 9:44:38
D038700WW00;0;FR;2021-01-19 9:44:38
D038713WW00;0;FR;2021-01-19 9:44:38
D038747WW00;0;FR;2021-01-19 9:44:38
D038770WW00;0;FR;2021-01-19 9:44:38
D038896WW00;0;FR;2021-01-19 9:44:38
