sku;country;stock_flat;stock_atomic;last_update_flat;last_update_atomic
H002163Z 01340;1;0;2021-01-19 9:44:38;2021-01-19 10:48:17
H002163Z 01345;1;0;2021-01-19 9:44:38;2021-01-19 10:48:18
H002163Z 01350;1;0;2021-01-19 9:44:38;2021-01-19 10:48:18
H002163Z 01355;1;0;2021-01-19 9:44:38;2021-01-19 10:48:16
H002163Z 01360;1;0;2021-01-19 9:44:38;2021-01-19 10:48:17
H002163Z 01365;1;0;2021-01-19 9:44:38;2021-01-19 10:48:17
H002163Z 01370;1;0;2021-01-19 9:44:38;2021-01-19 10:48:18
H002163Z 01375;1;0;2021-01-19 9:44:38;2021-01-19 10:48:18
H002163Z 01380;1;0;2021-01-19 9:44:38;2021-01-19 10:48:18
H002163Z 01385;1;0;2021-01-19 9:44:38;2021-01-19 10:48:18
H002163Z 01390;1;0;2021-01-19 9:44:38;2021-01-19 10:48:18
H002163Z 01395;1;0;2021-01-19 9:44:38;2021-01-19 10:48:18
H002163Z 01400;1;0;2021-01-19 9:44:38;2021-01-19 10:48:18
H002163Z 01405;1;0;2021-01-19 9:44:38;2021-01-19 10:48:18
H002163Z 01410;1;0;2021-01-19 9:44:38;2021-01-19 10:48:16
H002163Z 01415;1;0;2021-01-19 9:44:38;2021-01-19 10:48:17
H002163Z 01420;1;0;2021-01-19 9:44:38;2021-01-19 10:48:18
H002163Z 02340;1;0;2021-01-19 9:44:38;2021-01-19 10:48:18
H002163Z 02345;1;0;2021-01-19 9:44:38;2021-01-19 10:48:17
H002163Z 02350;1;0;2021-01-19 9:44:38;2021-01-19 10:48:17
H002163Z 02355;1;0;2021-01-19 9:44:38;2021-01-19 10:48:16
H002163Z 02360;1;0;2021-01-19 9:44:38;2021-01-19 10:48:17
H002163Z 02365;1;0;2021-01-19 9:44:38;2021-01-19 10:48:16
H002163Z 02370;1;0;2021-01-19 9:44:38;2021-01-19 10:48:16
H002163Z 02375;1;0;2021-01-19 9:44:38;2021-01-19 10:48:17
H002163Z 02380;1;0;2021-01-19 9:44:38;2021-01-19 10:48:16
H002163Z 02385;1;0;2021-01-18 9:32:54;2021-01-18 10:36:15
H002163Z 02390;1;0;2021-01-19 9:44:38;2021-01-19 10:48:17
H002163Z 02395;1;0;2021-01-19 9:44:38;2021-01-19 10:48:17
H002163Z 02400;1;0;2021-01-19 9:44:38;2021-01-19 10:48:17
H002163Z 02405;1;0;2021-01-19 9:44:38;2021-01-19 10:48:17
H002163Z 02410;1;0;2021-01-19 9:44:38;2021-01-19 10:48:17
H002163Z 02415;1;0;2021-01-19 9:44:38;2021-01-19 10:48:16
