sku;country;stock_flat;stock_atomic;last_update_flat;last_update_atomic;publication_status_atomic;publication_status_flat
H001089Z 78400;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001089Z 78405;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001089Z 78410;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001089Z 78415;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001089Z 78420;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001089Z 82340;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001089Z 82345;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001089Z 82350;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001089Z 82355;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001089Z 82360;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001089Z 82365;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001089Z 82370;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001089Z 82375;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001089Z 82380;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001089Z 82385;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001089Z 82390;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001089Z 82395;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001089Z 82400;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001089Z 82405;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001089Z 82410;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001089Z 82415;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001089Z 82420;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001089Z N7340;FR;1;1;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001089Z N7345;FR;1;1;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001089Z N7350;FR;1;1;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001089Z N7355;FR;1;1;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001089Z N7360;FR;1;1;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001089Z N7365;FR;1;1;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001089Z N7370;FR;1;1;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001089Z N7375;FR;1;1;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001089Z N7380;FR;1;1;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001089Z N7385;FR;1;1;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001089Z N7390;FR;1;1;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001089Z N7395;FR;1;1;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001089Z N7400;FR;1;1;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001089Z N7405;FR;1;1;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001089Z N7410;FR;1;1;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001089Z N7415;FR;1;1;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001089Z N7420;FR;1;1;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001191S 50;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001191S 53;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001191S 57;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001323G 01075;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001323G 01080;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001323G 01085;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001323G 01090;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001323G 01095;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001323G 01100;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001323G 01105;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001323G 01110;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001323G G2075;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001323G G2080;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001323G G2085;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001323G G2090;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001323G G2095;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001323G G2100;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001323G G2105;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001323G G2110;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001387S 09;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001387S 45;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001387S 48;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001387S 52;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001410S 06;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001410S 07;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001410S 08;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001410S 09;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001410S 10;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001410S 11;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001410S 12;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001410S 13;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001410S 14;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001410S 15;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001517S 23;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001570S 22;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001570S 23;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001570S 25;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001570S 26;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001570S 27;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001570S 28;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
